throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0116,1,4,false,false,false,false,true,true,2,8,1,0,10
0.0015,1,4,false,false,false,false,true,true,4,1,1,0,10
0.0027,1,4,false,false,false,false,true,true,4,2,1,0,10
0.0062,1,4,false,false,false,false,true,true,4,4,1,0,10
0.0121,1,4,false,false,false,false,true,true,4,8,1,0,10
0.0015,1,4,false,false,false,false,true,true,8,1,1,0,10
0.0028,1,4,false,false,false,false,true,true,8,2,1,0,10
0.0062,1,4,false,false,false,false,true,true,8,4,1,0,10
0.0121,1,4,false,false,false,false,true,true,8,8,1,0,10
0.0015,1,8,false,false,false,false,true,false,1,1,1,0,10
0.0035,1,8,false,false,false,false,true,false,1,2,1,0,10
0.0061,1,8,false,false,false,false,true,false,1,4,1,0,10
0.0116,1,8,false,false,false,false,true,false,1,8,1,0,10
0.0015,1,8,false,false,false,false,true,false,2,1,1,0,10
,1,8,false,false,false,false,true,false,2,2,1,0,10
0.0063,1,8,false,false,false,false,true,false,2,4,1,0,10
0.0121,1,8,false,false,false,false,true,false,2,8,1,0,10
0.0015,1,8,false,false,false,false,true,false,4,1,1,0,10
0.0038,1,8,false,false,false,false,true,false,4,2,1,0,10
0.0062,1,8,false,false,false,false,true,false,4,4,1,0,10
0.0118,1,8,false,false,false,false,true,false,4,8,1,0,10
0.0015,1,8,false,false,false,false,true,false,8,1,1,0,10
0.0032,1,8,false,false,false,false,true,false,8,2,1,0,10
0.0063,1,8,false,false,false,false,true,false,8,4,1,0,10
0.0122,1,8,false,false,false,false,true,false,8,8,1,0,10
0.0015,1,8,false,false,false,false,true,true,1,1,1,0,10
0.0031,1,8,false,false,false,false,true,true,1,2,1,0,10
0.0061,1,8,false,false,false,false,true,true,1,4,1,0,10
0.0117,1,8,false,false,false,false,true,true,1,8,1,0,10
0.0015,1,8,false,false,false,false,true,true,2,1,1,0,10
0.0027,1,8,false,false,false,false,true,true,2,2,1,0,10
0.0061,1,8,false,false,false,false,true,true,2,4,1,0,10
0.0121,1,8,false,false,false,false,true,true,2,8,1,0,10
0.0015,1,8,false,false,false,false,true,true,4,1,1,0,10
0.0028,1,8,false,false,false,false,true,true,4,2,1,0,10
0.0061,1,8,false,false,false,false,true,true,4,4,1,0,10
0.0120,1,8,false,false,false,false,true,true,4,8,1,0,10
0.0015,1,8,false,false,false,false,true,true,8,1,1,0,10
0.0030,1,8,false,false,false,false,true,true,8,2,1,0,10
0.0061,1,8,false,false,false,false,true,true,8,4,1,0,10
0.0121,1,8,false,false,false,false,true,true,8,8,1,0,10
0.0022,2,1,false,false,false,false,true,false,1,1,1,0,10
0.0028,2,1,false,false,false,false,true,false,1,2,1,0,10
0.0031,2,1,false,false,false,false,true,false,1,4,1,0,10
0.0031,2,1,false,false,false,false,true,false,1,8,1,0,10
0.0029,2,1,false,false,false,false,true,false,2,1,1,0,10
0.0036,2,1,false,false,false,false,true,false,2,2,1,0,10
0.0060,2,1,false,false,false,false,true,false,2,4,1,0,10
0.0063,2,1,false,false,false,false,true,false,2,8,1,0,10
0.0025,2,1,false,false,false,false,true,false,4,1,1,0,10
0.0058,2,1,false,false,false,false,true,false,4,2,1,0,10
0.0100,2,1,false,false,false,false,true,false,4,4,1,0,10
0.0117,2,1,false,false,false,false,true,false,4,8,1,0,10
0.0029,2,1,false,false,false,false,true,false,8,1,1,0,10
0.0060,2,1,false,false,false,false,true,false,8,2,1,0,10
0.0092,2,1,false,false,false,false,true,false,8,4,1,0,10
0.0150,2,1,false,false,false,false,true,false,8,8,1,0,10
0.0022,2,1,false,false,false,false,true,true,1,1,1,0,10
0.0024,2,1,false,false,false,false,true,true,1,2,1,0,10
0.0031,2,1,false,false,false,false,true,true,1,4,1,0,10
0.0031,2,1,false,false,false,false,true,true,1,8,1,0,10
0.0029,2,1,false,false,false,false,true,true,2,1,1,0,10
0.0048,2,1,false,false,false,false,true,true,2,2,1,0,10
0.0062,2,1,false,false,false,false,true,true,2,4,1,0,10
0.0063,2,1,false,false,false,false,true,true,2,8,1,0,10
0.0030,2,1,false,false,false,false,true,true,4,1,1,0,10
0.0060,2,1,false,false,false,false,true,true,4,2,1,0,10
0.0103,2,1,false,false,false,false,true,true,4,4,1,0,10
0.0121,2,1,false,false,false,false,true,true,4,8,1,0,10
0.0029,2,1,false,false,false,false,true,true,8,1,1,0,10
0.0059,2,1,false,false,false,false,true,true,8,2,1,0,10
0.0093,2,1,false,false,false,false,true,true,8,4,1,0,10
0.0150,2,1,false,false,false,false,true,true,8,8,1,0,10
0.0029,2,2,false,false,false,false,true,false,1,1,1,0,10
0.0050,2,2,false,false,false,false,true,false,1,2,1,0,10
0.0058,2,2,false,false,false,false,true,false,1,4,1,0,10
0.0062,2,2,false,false,false,false,true,false,1,8,1,0,10
0.0029,2,2,false,false,false,false,true,false,2,1,1,0,10
0.0059,2,2,false,false,false,false,true,false,2,2,1,0,10
0.0100,2,2,false,false,false,false,true,false,2,4,1,0,10
0.0119,2,2,false,false,false,false,true,false,2,8,1,0,10
0.0029,2,2,false,false,false,false,true,false,4,1,1,0,10
0.0060,2,2,false,false,false,false,true,false,4,2,1,0,10
0.0092,2,2,false,false,false,false,true,false,4,4,1,0,10
0.0150,2,2,false,false,false,false,true,false,4,8,1,0,10
0.0028,2,2,false,false,false,false,true,false,8,1,1,0,10
0.0047,2,2,false,false,false,false,true,false,8,2,1,0,10
0.0077,2,2,false,false,false,false,true,false,8,4,1,0,10
0.0156,2,2,false,false,false,false,true,false,8,8,1,0,10
0.0029,2,2,false,false,false,false,true,true,1,1,1,0,10
0.0044,2,2,false,false,false,false,true,true,1,2,1,0,10
0.0060,2,2,false,false,false,false,true,true,1,4,1,0,10
0.0062,2,2,false,false,false,false,true,true,1,8,1,0,10
0.0030,2,2,false,false,false,false,true,true,2,1,1,0,10
0.0061,2,2,false,false,false,false,true,true,2,2,1,0,10
0.0095,2,2,false,false,false,false,true,true,2,4,1,0,10
0.0118,2,2,false,false,false,false,true,true,2,8,1,0,10
0.0030,2,2,false,false,false,false,true,true,4,1,1,0,10
0.0060,2,2,false,false,false,false,true,true,4,2,1,0,10
0.0084,2,2,false,false,false,false,true,true,4,4,1,0,10
0.0142,2,2,false,false,false,false,true,true,4,8,1,0,10
0.0029,2,2,false,false,false,false,true,true,8,1,1,0,10
0.0051,2,2,false,false,false,false,true,true,8,2,1,0,10
0.0104,2,2,false,false,false,false,true,true,8,4,1,0,10
0.0147,2,2,false,false,false,false,true,true,8,8,1,0,10
0.0030,2,4,false,false,false,false,true,false,1,1,1,0,10
0.0057,2,4,false,false,false,false,true,false,1,2,1,0,10
0.0099,2,4,false,false,false,false,true,false,1,4,1,0,10
0.0117,2,4,false,false,false,false,true,false,1,8,1,0,10
0.0030,2,4,false,false,false,false,true,false,2,1,1,0,10
0.0059,2,4,false,false,false,false,true,false,2,2,1,0,10
0.0104,2,4,false,false,false,false,true,false,2,4,1,0,10
0.0156,2,4,false,false,false,false,true,false,2,8,1,0,10
0.0030,2,4,false,false,false,false,true,false,4,1,1,0,10
0.0061,2,4,false,false,false,false,true,false,4,2,1,0,10
0.0100,2,4,false,false,false,false,true,false,4,4,1,0,10
0.0150,2,4,false,false,false,false,true,false,4,8,1,0,10
0.0029,2,4,false,false,false,false,true,false,8,1,1,0,10
0.0057,2,4,false,false,false,false,true,false,8,2,1,0,10
0.0107,2,4,false,false,false,false,true,false,8,4,1,0,10
0.0156,2,4,false,false,false,false,true,false,8,8,1,0,10
0.0030,2,4,false,false,false,false,true,true,1,1,1,0,10
0.0059,2,4,false,false,false,false,true,true,1,2,1,0,10
0.0106,2,4,false,false,false,false,true,true,1,4,1,0,10
0.0116,2,4,false,false,false,false,true,true,1,8,1,0,10
0.0030,2,4,false,false,false,false,true,true,2,1,1,0,10
0.0052,2,4,false,false,false,false,true,true,2,2,1,0,10
0.0097,2,4,false,false,false,false,true,true,2,4,1,0,10
0.0144,2,4,false,false,false,false,true,true,2,8,1,0,10
0.0030,2,4,false,false,false,false,true,true,4,1,1,0,10
0.0061,2,4,false,false,false,false,true,true,4,2,1,0,10
0.0100,2,4,false,false,false,false,true,true,4,4,1,0,10
0.0145,2,4,false,false,false,false,true,true,4,8,1,0,10
0.0029,2,4,false,false,false,false,true,true,8,1,1,0,10
0.0061,2,4,false,false,false,false,true,true,8,2,1,0,10
0.0100,2,4,false,false,false,false,true,true,8,4,1,0,10
0.0163,2,4,false,false,false,false,true,true,8,8,1,0,10
0.0028,2,8,false,false,false,false,true,false,1,1,1,0,10
0.0048,2,8,false,false,false,false,true,false,1,2,1,0,10
0.0099,2,8,false,false,false,false,true,false,1,4,1,0,10
0.0145,2,8,false,false,false,false,true,false,1,8,1,0,10
0.0027,2,8,false,false,false,false,true,false,2,1,1,0,10
0.0059,2,8,false,false,false,false,true,false,2,2,1,0,10
0.0096,2,8,false,false,false,false,true,false,2,4,1,0,10
0.0163,2,8,false,false,false,false,true,false,2,8,1,0,10
0.0030,2,8,false,false,false,false,true,false,4,1,1,0,10
0.0047,2,8,false,false,false,false,true,false,4,2,1,0,10
0.0101,2,8,false,false,false,false,true,false,4,4,1,0,10
0.0160,2,8,false,false,false,false,true,false,4,8,1,0,10
0.0030,2,8,false,false,false,false,true,false,8,1,1,0,10
0.0060,2,8,false,false,false,false,true,false,8,2,1,0,10
0.0093,2,8,false,false,false,false,true,false,8,4,1,0,10
0.0154,2,8,false,false,false,false,true,false,8,8,1,0,10
0.0030,2,8,false,false,false,false,true,true,1,1,1,0,10
0.0060,2,8,false,false,false,false,true,true,1,2,1,0,10
0.0103,2,8,false,false,false,false,true,true,1,4,1,0,10
0.0137,2,8,false,false,false,false,true,true,1,8,1,0,10
0.0030,2,8,false,false,false,false,true,true,2,1,1,0,10
0.0060,2,8,false,false,false,false,true,true,2,2,1,0,10
0.0092,2,8,false,false,false,false,true,true,2,4,1,0,10
0.0137,2,8,false,false,false,false,true,true,2,8,1,0,10
0.0030,2,8,false,false,false,false,true,true,4,1,1,0,10
0.0061,2,8,false,false,false,false,true,true,4,2,1,0,10
0.0082,2,8,false,false,false,false,true,true,4,4,1,0,10
0.0151,2,8,false,false,false,false,true,true,4,8,1,0,10
0.0030,2,8,false,false,false,false,true,true,8,1,1,0,10
0.0060,2,8,false,false,false,false,true,true,8,2,1,0,10
0.0106,2,8,false,false,false,false,true,true,8,4,1,0,10
0.0157,2,8,false,false,false,false,true,true,8,8,1,0,10
0.0030,4,1,false,false,false,false,true,false,1,1,1,0,10
0.0031,4,1,false,false,false,false,true,false,1,2,1,0,10
0.0031,4,1,false,false,false,false,true,false,1,4,1,0,10
0.0031,4,1,false,false,false,false,true,false,1,8,1,0,10
0.0048,4,1,false,false,false,false,true,false,2,1,1,0,10
0.0057,4,1,false,false,false,false,true,false,2,2,1,0,10
0.0063,4,1,false,false,false,false,true,false,2,4,1,0,10
0.0063,4,1,false,false,false,false,true,false,2,8,1,0,10
0.0057,4,1,false,false,false,false,true,false,4,1,1,0,10
0.0099,4,1,false,false,false,false,true,false,4,2,1,0,10
0.0109,4,1,false,false,false,false,true,false,4,4,1,0,10
0.0122,4,1,false,false,false,false,true,false,4,8,1,0,10
0.0058,4,1,false,false,false,false,true,false,8,1,1,0,10
0.0111,4,1,false,false,false,false,true,false,8,2,1,0,10
0.0143,4,1,false,false,false,false,true,false,8,4,1,0,10
0.0173,4,1,false,false,false,false,true,false,8,8,1,0,10
0.0030,4,1,false,false,false,false,true,true,1,1,1,0,10
0.0031,4,1,false,false,false,false,true,true,1,2,1,0,10
